row,date,signal_id,ticker,politician,sig_action,trade_price,current_price,price_change_pct,days_since_trade,decision,reason,score,time_decay,price_move,pos_size,pol_skill,src_qual,position_size_usd,cash_before,cash_after,open_positions
200,2026-01-16,"ct_20003794798",BK,"Julie Johnson",SELL,114.45,121.33,6.01,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
201,2026-01-16,"ct_20003794799",CI,"Julie Johnson",SELL,274.00,272.21,-0.65,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
202,2026-01-16,"ct_20003794800",TJX,"Julie Johnson",SELL,154.88,157.38,1.61,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
203,2026-01-16,"ct_20003794801",UNP,"Julie Johnson",SELL,234.42,229.49,-2.10,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
204,2026-01-16,"ct_20003794802",UNH,"Julie Johnson",SELL,328.14,331.02,0.88,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
205,2026-01-16,"ct_20003794803",VZ,"Julie Johnson",SELL,39.72,38.91,-2.04,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
206,2026-01-16,"ct_20003794804",WMT,"Julie Johnson",SELL,114.83,119.70,4.24,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
207,2026-01-16,"ct_20003794805",WFC,"Julie Johnson",SELL,91.48,88.38,-3.39,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
208,2026-01-16,"ct_20003794806",XEL,"Julie Johnson",SELL,73.05,75.61,3.51,29,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
209,2026-01-16,"ct_20003794826",CVX,"Roger Williams",SELL,149.80,166.26,10.99,25,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
210,2026-01-16,"ct_20003794827",FANG,"Roger Williams",SELL,148.46,151.28,1.90,25,SKIP,"No position to sell",,,,,,,,659.44,659.44,3
211,2026-01-16,"ct_20003794828",JPM,"Roger Williams",BUY,321.64,312.47,-2.85,25,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
212,2026-01-16,"ct_20003794829",RTX,"Roger Williams",BUY,185.68,201.92,8.75,25,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
213,2026-01-16,"ct_10000064424",CAT,"Markwayne Mullin",BUY,578.61,646.89,11.80,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
214,2026-01-16,"ct_10000064425",LLY,"Markwayne Mullin",BUY,1078.73,1038.40,-3.74,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
